surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	H2	0	[4447.09, 110.56, 8.01]	 J. Catal. 2024, 439
None	gas	H2O	-2.354	[3885.05, 3775.59, 1619.37, 98.1, 13.07, 4.39]	 J. Catal. 2024, 439
None	gas	NO2	-0.012	[1662.39, 1340.56, 732.27, 49.24, 31.87, 16.03]	 J. Catal. 2024, 439
None	gas	NH2OH	-0.67	[3764.56, 3459.66, 3377.43, 1643.21, 1382.19, 1310.59, 1140.8, 872.72, 385.54, 68.97, 17.42, 3.37]	 J. Catal. 2024, 439
None	gas	O2	0	[1546.06, 39.67, 25.84]	 J. Catal. 2024, 439
None	gas	NH3	-0.747	[3550.35, 3547.94, 3431.55, 1659.59, 1659.05, 1046.4, 65.6, 42.77, 20.23]	 J. Catal. 2024, 439
None	gas	N2O	0.384	[2348.81, 1317.3, 572.21, 568.19, 10.57, 4.17]	 J. Catal. 2024, 439
None	gas	N2	0	[2358.6]	 J. Catal. 2024, 439
None	gas	NO	0.935	[1914.61, 17.79, 5.1]	 J. Catal. 2024, 439
None	gas	N2H4	0.432	[3515.65, 3507.44, 3410.69, 3398.15, 1672.57, 1657.36, 1317.58, 1287.4, 1098.46, 988.1, 778.05, 417.55, 40.97, 30.51, 13.67]	 J. Catal. 2024, 439
Ni	111	H	-0.312	[1137.15, 884.62, 850.81]	 J. Catal. 2024, 439
Ni	111	O	-2.08	[489.55, 388.81, 380.98]	 J. Catal. 2024, 439
Ni	111	N	0.172	[563.29, 498.16, 493.54]	 J. Catal. 2024, 439
Ni	111	N2O	0.399	[1511.61, 958.54, 669.18, 414.45, 329.8, 260.61, 185.37, 118.59, 39.96]	 J. Catal. 2024, 439
Ni	111	NO-N	0.856	[1643.51, 571.85, 418.04, 401.52, 258.16, 167.4, 116.06]	 J. Catal. 2024, 439
Ni	111	OH	-2.37	[3732.13, 471.3, 443.69, 376.41, 264.55, 248.73]	 J. Catal. 2024, 439
Ni	111	O-H	-1.128	[1082.53, 491.6, 441.53, 277.08, 262.69]	 J. Catal. 2024, 439
Ni	111	NH-O	-0.3	[3442.7, 1021.15, 662.29, 510.21, 414.64, 386.41, 279.98, 127.72]	 J. Catal. 2024, 439
Ni	111	NHO	-0.794	[3306.18, 1345.42, 977.72, 594.42, 470.76, 349.85, 321.48, 197.87, 147.46]	 J. Catal. 2024, 439
Ni	111	H2O	-2.576	[3779.22, 3668.84, 1612.13, 464.73, 426.2, 165.93, 52.94, 46.09, 28.9]	 J. Catal. 2024, 439
Ni	111	NO	-1.233	[1542.71, 389.31, 377.05, 342.93, 139.35, 125.3]	 J. Catal. 2024, 439
Ni	111	NH3	-1.194	[3488.81, 3487.94, 3355.91, 1633.26, 1628.51, 1110.88, 542.14, 529.6, 258.29, 256.2, 140.94, 106.55]	 J. Catal. 2024, 439
Ni	111	N-OH	-0.272	[3649.22, 930.15, 721.71, 492.54, 486.02, 336.78, 146.38, 88.5]	 J. Catal. 2024, 439
Ni	111	NOH	-0.948	[3617.29, 1342.53, 880.52, 484.98, 471.94, 366.08, 352.71, 129.49, 90.0]	 J. Catal. 2024, 439
Ni	111	NO2	-1.54	[1568.54, 945.62, 747.83, 372.35, 312.35, 234.94, 129.22, 71.53, 14.41]	 J. Catal. 2024, 439
Ni	111	NO-O	-1.464	[1727.91, 654.27, 363.86, 299.48, 252.48, 241.15, 120.0, 32.13]	 J. Catal. 2024, 439
Ni	111	NH2OH	-1.382	[3458.11, 3384.03, 3214.35, 1619.62, 1448.59, 1271.25, 1195.54, 828.79, 558.8, 468.71, 328.2, 174.76, 142.16, 93.11, 69.56]	 J. Catal. 2024, 439
Ni	111	H-NHOH	0.047	[3452.12, 3437.96, 1492.76, 1268.17, 1202.82, 919.12, 747.67, 499.43, 431.43, 325.95, 203.07, 185.82, 73.53, 56.35]	 J. Catal. 2024, 439
Ni	111	N2	-0.289	[2255.71, 286.0, 278.58, 275.29, 48.64, 39.34]	 J. Catal. 2024, 439
Ni	111	N-N	2.148	[534.14, 510.04, 456.84, 388.45, 270.32]	 J. Catal. 2024, 439
Ni	111	NH2-NH3	1.16	[3258.45, 3232.59, 3123.53, 3083.01, 2559.14, 1489.62, 1483.68, 1450.23, 1250.72, 1168.96, 1080.69, 926.78, 865.14, 472.76, 318.53, 260.71, 188.07, 164.3, 110.28, 95.26]	 J. Catal. 2024, 439
Ni	111	H2NNH3	1.096	[3291.1, 3173.26, 3103.31, 2999.84, 2155.22, 1565.68, 1476.93, 1423.88, 1360.33, 1292.07, 1168.49, 1031.91, 981.43, 779.26, 462.36, 267.5, 205.3, 178.98, 137.75, 95.83, 62.96]	 J. Catal. 2024, 439
Ni	111	O2	-1.201	[1038.61, 350.82, 346.88, 259.8, 90.89, 78.5]	 J. Catal. 2024, 439
Ni	111	NH-NH3	1.076	[3503.36, 3401.5, 3296.88, 3251.78, 1610.96, 1563.51, 1143.27, 1079.67, 730.22, 635.0, 615.02, 425.66, 228.78, 204.44, 90.87, 68.8]	 J. Catal. 2024, 439
Ni	111	HNNH3	0.777	[3340.31, 3267.83, 3066.52, 3036.35, 1574.97, 1542.2, 1450.94, 1422.49, 1089.32, 1041.25, 795.9, 605.24, 331.81, 285.92, 210.16, 112.95, 94.13, 59.57]	 J. Catal. 2024, 439
Ni	111	NH	-0.538	[3431.04, 695.82, 682.04, 559.6, 435.27, 425.57]	 J. Catal. 2024, 439
Ni	111	N-H	0.941	[1262.94, 530.19, 459.54, 404.61, 281.05]	 J. Catal. 2024, 439
Ni	111	NNH	0.706	[3301.02, 1248.75, 1158.94, 690.8, 472.91, 425.54, 274.75, 229.44, 206.71]	 J. Catal. 2024, 439
Ni	111	NH-N	1.524	[3447.98, 928.12, 655.08, 540.14, 512.47, 425.78, 404.41, 166.36]	 J. Catal. 2024, 439
Ni	111	O-O	-1.053	[466.34, 417.48, 326.48, 121.27]	 J. Catal. 2024, 439
Ni	111	N-O	0.274	[540.37, 481.56, 392.7, 302.71, 204.39]	 J. Catal. 2024, 439
Ni	111	NH2	-0.747	[3494.7, 3400.03, 1547.74, 679.51, 650.65, 643.5, 449.48, 314.23, 173.88]	 J. Catal. 2024, 439
Ni	111	NH-H	0.263	[3462.83, 1235.79, 838.3, 608.51, 521.2, 475.37, 360.58, 343.59]	 J. Catal. 2024, 439
Ni	111	H-H	0.275	[1911.24, 1688.5, 296.88, 273.02, 128.04]	 J. Catal. 2024, 439
Ni	111	N2-O	0.844	[1556.88, 537.85, 436.96, 277.19, 184.07, 138.34, 27.13]	 J. Catal. 2024, 439
Ni	111	ONNO	-0.036	[1420.13, 1016.93, 906.59, 643.79, 511.12, 407.09, 316.23, 301.58, 196.53, 171.95, 106.09, 84.65]	 J. Catal. 2024, 439
Ni	111	ON-NO	0.388	[1570.68, 1344.66, 654.81, 462.19, 308.77, 232.28, 222.12, 171.77, 145.17, 78.14, 26.88]	 J. Catal. 2024, 439
