surface_name	species_name	formation_energy	frequencies	reference
None	H2_g	0.310092*(T/1000)*(1-ln(T/1000))+0.012179*(T/1000)^2-0.002673*(T/1000)^3-0.0005*(T/1000)^4+0.000134*(1000/T)-1.775918*(T/1000)-31.526244	[]	ACS Catal. 2011, 1, 4, 365–384
None	CO_g	0.280034*(T/1000)*(1-ln(T/1000))-0.002067*(T/1000)^2-0.018656*(T/1000)^3+0.004662*(T/1000)^4-0.000587*(1000/T)-2.433842*(T/1000)-590.999695+0.092	[]	ACS Catal. 2011, 1, 4, 365–384
None	CO2_g	0.287332*(T/1000)*(1-ln(T/1000))-0.251881*(T/1000)^2+0.049983*(T/1000)^3-0.005825*(T/1000)^4+0.000947*(1000/T)-2.464831*(T/1000)-1029.39163	[]	ACS Catal. 2011, 1, 4, 365–384
None	H2O_g	0.290775*(T/1000)*(1-ln(T/1000))-0.074945*(T/1000)^2+0.005172*(T/1000)^3-0.000927*(T/1000)^4-0.000632*(1000/T)-2.275579*(T/1000)-468.858639-0.034	[]	ACS Catal. 2011, 1, 4, 365–384
None	CH2O_g	0.031586*(T/1000)*(1-ln(T/1000))-0.528169*(T/1000)^2+0.097189*(T/1000)^3-0.010835*(T/1000)^4-0.003225*(1000/T)-2.052747*(T/1000)-622.901437-0.741	[]	ACS Catal. 2011, 1, 4, 365–384
None	HCOOH_g	0.164221*(T/1000)*(1-ln(T/1000))-0.746173*(T/1000)^2+0.18304*(T/1000)^3-0.026899*(T/1000)^4+0.000733*(1000/T)-2.397981*(T/1000)-1060.838276-0.712	[]	ACS Catal. 2011, 1, 4, 365–384
None	CH3OH_g	0.108768*(T/1000)*(1-ln(T/1000))-0.795941*(T/1000)^2+0.160401*(T/1000)^3-0.020783*(T/1000)^4-0.001011*(1000/T)-2.21557*(T/1000)-655.468979-1.551	[]	ACS Catal. 2011, 1, 4, 365–384
None	HCOOCH3_g	0.001199*(T/1000)*(1-ln(T/1000))-1.383341*(T/1000)^2+0.305513*(T/1000)^3-0.040677*(T/1000)^4-0.002008*(1000/T)-2.28926*(T/1000)-1247.495462-2.317	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	H_s	0.117486*(T/1000)*(1-ln(T/1000))-0.065475*(T/1000)^2-0.009685*(T/1000)^3+0.005991*(T/1000)^4+0.004759*(1000/T)-0.066124*(T/1000)-15.949086-0.329	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	O_s	0.193442*(T/1000)*(1-ln(T/1000))-0.093744*(T/1000)^2+0.033082*(T/1000)^3-0.006047*(T/1000)^4+0.001535*(1000/T)-0.312586*(T/1000)-436.635422	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	OH_s	0.322982*(T/1000)*(1-ln(T/1000))-0.157972*(T/1000)^2+0.057683*(T/1000)^3-0.01193*(T/1000)^4+0.001494*(1000/T)-0.612943*(T/1000)-453.177154-0.344	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	H2O_s	0.326497*(T/1000)*(1-ln(T/1000))-0.290143*(T/1000)^2+0.084945*(T/1000)^3-0.016102*(T/1000)^4-0.001092*(1000/T)-1.007511*(T/1000)-469.016643-0.705	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CO_s	0.269597*(T/1000)*(1-ln(T/1000))-0.229173*(T/1000)^2+0.062638*(T/1000)^3-0.010069*(T/1000)^4-0.00147*(1000/T)-0.769443*(T/1000)-591.917955-0.624	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CO2_s	0.361637*(T/1000)*(1-ln(T/1000))-0.339064*(T/1000)^2+0.082634*(T/1000)^3-0.012048*(T/1000)^4+0.000622*(1000/T)-0.952269*(T/1000)-1029.438285-0.834	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CO3_s	0.522957*(T/1000)*(1-ln(T/1000))-0.4837*(T/1000)^2+0.119968*(T/1000)^3-0.01618*(T/1000)^4+0.004891*(1000/T)-1.065343*(T/1000)-1465.988892-0.875	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	HCO3_s	0.333867*(T/1000)*(1-ln(T/1000))-0.873334*(T/1000)^2+0.230702*(T/1000)^3-0.034464*(T/1000)^4+0.002338*(1000/T)-0.736796*(T/1000)-1482.823017-1.385	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	HCO_s	0.315757*(T/1000)*(1-ln(T/1000))-0.328051*(T/1000)^2+0.068591*(T/1000)^3-0.00855*(T/1000)^4+0.000815*(1000/T)-0.789861*(T/1000)-606.96247-1.028	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	COH_s	0.351563*(T/1000)*(1-ln(T/1000))-0.342059*(T/1000)^2+0.090624*(T/1000)^3-0.014209*(T/1000)^4+0.00155*(1000/T)-0.879719*(T/1000)-606.516415-1.09	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	HCOH_s	0.37233*(T/1000)*(1-ln(T/1000))-0.415306*(T/1000)^2+0.073535*(T/1000)^3-0.007487*(T/1000)^4+0.00241*(1000/T)-0.877543*(T/1000)-622.702171-1.404	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	HCOO_s	0.209473*(T/1000)*(1-ln(T/1000))-0.692953*(T/1000)^2+0.166183*(T/1000)^3-0.022913*(T/1000)^4-0.000041*(1000/T)-0.528474*(T/1000)-1045.574429-1.17	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	H2COO_s	0.203194*(T/1000)*(1-ln(T/1000))-0.889305*(T/1000)^2+0.215147*(T/1000)^3-0.030519*(T/1000)^4+0.001905*(1000/T)-0.474994*(T/1000)-1060.494134-1.582	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	COOH_s	0.435639*(T/1000)*(1-ln(T/1000))-0.450349*(T/1000)^2+0.100153*(T/1000)^3-0.01268*(T/1000)^4+0.003379*(1000/T)-0.917963*(T/1000)-1044.712218-1.289	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	HCOOH_s	0.237303*(T/1000)*(1-ln(T/1000))-0.802825*(T/1000)^2+0.1845*(T/1000)^3-0.025311*(T/1000)^4+0.00029*(1000/T)-0.697723*(T/1000)-1061.134978-1.533	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CH2O_s	0.351831*(T/1000)*(1-ln(T/1000))-0.40693*(T/1000)^2+0.068571*(T/1000)^3-0.00651*(T/1000)^4+0.002605*(1000/T)-0.798152*(T/1000)-623.123851-1.496	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CH3O_s	0.103422*(T/1000)*(1-ln(T/1000))-0.813015*(T/1000)^2+0.169569*(T/1000)^3-0.021731*(T/1000)^4-0.001551*(1000/T)-0.412498*(T/1000)-639.779938-1.935	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CH2OH_s	0.415829*(T/1000)*(1-ln(T/1000))-0.491041*(T/1000)^2+0.081768*(T/1000)^3-0.008046*(T/1000)^4+0.004098*(1000/T)-0.914232*(T/1000)-638.95668-1.922	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CH3O2_s	0.208627*(T/1000)*(1-ln(T/1000))-1.030373*(T/1000)^2+0.246261*(T/1000)^3-0.035286*(T/1000)^4+0.001361*(1000/T)-0.46774*(T/1000)-1076.770152-2.051	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CH3OH_s	0.132717*(T/1000)*(1-ln(T/1000))-0.93977*(T/1000)^2+0.199226*(T/1000)^3-0.02657*(T/1000)^4-0.001579*(1000/T)-0.629733*(T/1000)-655.621313-2.459	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	HCOOCH3_s	0.103286*(T/1000)*(1-ln(T/1000))-1.444069*(T/1000)^2+0.319368*(T/1000)^3-0.042422*(T/1000)^4-0.001969*(1000/T)-0.707258*(T/1000)-1247.512599-3.264	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	H2COOCH3_s	0.00511*(T/1000)*(1-ln(T/1000))-1.723788*(T/1000)^2+0.384329*(T/1000)^3-0.051381*(T/1000)^4-0.002112*(1000/T)-0.419649*(T/1000)-1263.270768-3.743	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CO-O_s	0.412253*(T/1000)*(1-ln(T/1000))-0.258065*(T/1000)^2+0.072226*(T/1000)^3-0.011905*(T/1000)^4+0.000991*(1000/T)-0.856503*(T/1000)-1027.820303-0.792	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	CO-OH_s	0.510354*(T/1000)*(1-ln(T/1000))-0.332003*(T/1000)^2+0.089534*(T/1000)^3-0.015028*(T/1000)^4+0.002674*(1000/T)-1.011242*(T/1000)-1044.405933-1.229	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	COO-H_s	0.45461*(T/1000)*(1-ln(T/1000))-0.445665*(T/1000)^2+0.106655*(T/1000)^3-0.014012*(T/1000)^4+0.002646*(1000/T)-1.022746*(T/1000)-1043.710283-1.025	[]	ACS Catal. 2011, 1, 4, 365–384
Cu	COO-H-OH_s	0.42947*(T/1000)*(1-ln(T/1000))-0.917674*(T/1000)^2+0.235321*(T/1000)^3-0.034285*(T/1000)^4+0.002306*(1000/T)-0.902521*(T/1000)-1498.206013-1.279	[]	ACS Catal. 2011, 1, 4, 365–384
