surface_name	species_name	formation_energy	frequencies	reference
None	CH3CH2OH_g	-0.65	[3653,2984,2939,2900,1490,1464,1412,1371,1256,1091,1028,888,417,2991,2910,1446,1275,1161,812]	jacs,2016,138,11,3705–3714
None	CH3CHO_g	-0.58	[3005,2917,2822,1743,1441,1400,1352,1113,919,509,2967,1420,867,763,150]	jacs,2016,138,11,3705–3714
None	CH4_g	-0.51	[2917,1534,1534,3019,3019,3019,1306,1306,1306]	jacs,2016,138,11,3705–3714
None	CO_g	0	[2170]	jacs,2016,138,11,3705–3714
None	H2_g	0.67	[4401]	jacs,2016,138,11,3705–3714
None	H2O_g	0	[3657,1595,3756]	jacs,2016,138,11,3705–3714
Rh(111)	CH_s	if(4/9-theta[CO_s],-0.56+theta[CO_s]*0.52,-0.73+theta[CO_s]*0.9)	[413,437,487,710,735,3045]	jacs,2016,138,11,3705–3714
Rh(111)	CH-CO_s	-0.86+theta[CO_s]*1.8	[12,12,150,347,373,460,580,767,961,1607,3001]	jacs,2016,138,11,3705–3714
Rh(111)	CH-H_s	0.15+theta[CO_s]*1.39	[270,369,382,566,681,955,1998,3025]	jacs,2016,138,11,3705–3714
Rh(111)	CH-OH_s	0.45+theta[CO_s]*0.95	[194,314,411,461,643,671,723,755,849,3162,3676]	jacs,2016,138,11,3705–3714
Rh(111)	CH2_s	if(4/9-theta[CO_s],-0.07+theta[CO_s]*0.32,-0.41+theta[CO_s]*1.08)	[12,306,382,468,663,790,1356,2737,3004]	jacs,2016,138,11,3705–3714
Rh(111)	CH2CO_s	if(4/9-theta[CO_s],-1.13+theta[CO_s]*0.74,-1.52+theta[CO_s]*1.62)	[12,142,169,291,350,435,565,621,871,930,1035,1295,1674,2998,3071]	jacs,2016,138,11,3705–3714
Rh(111)	CH3_s	if(4/9-theta[CO_s],-0.23+theta[CO_s]*0.36,-2.79+theta[CO_s]*6.12)	[12,114,168,622,686,703,1382,1417,1576,3026,3093,3099]	jacs,2016,138,11,3705–3714
Rh(111)	CH3CH2OH_s	if(4/9-theta[CO_s],-1.13-theta[CO_s]*0.25,-1.32+theta[CO_s]*0.18)	[12,12,12,12,42,255,324,421,479,732,867,1009,1087,1136,1254,1264,1394,1419,1432,1462,1491,2887,2966,2984,3029,3146,3726]	jacs,2016,138,11,3705–3714
Rh(111)	CH3CHO_s	if(4/9-theta[CO_s],-0.99-theta[CO_s]*1.08,-3.27+theta[CO_s]*4.05)	[12,61,93,134,227,361,430,516,737,928,1037,1062,1128,1287,1321,1408,1443,2933,2974,3000,3063]	jacs,2016,138,11,3705–3714
Rh(111)	CH3CHO-H_s	-0.03-theta[CO_s]*0.22	[12,45,123,183,208,232,385,511,578,810,900,999,1054,1084,1129,1316,1335,1424,1453,2906,2945,2984,3054]	jacs,2016,138,11,3705–3714
Rh(111)	CH3CHOH_s	if(4/9-theta[CO_s],-0.86-theta[CO_s]*0.16,-1.37+theta[CO_s]*0.99)	[12,71,162,228,268,318,446,541,664,773,890,1022,1089,1141,1236,1347,1375,1462,1489,2927,2973,3024,3060,3629]	jacs,2016,138,11,3705–3714
Rh(111)	CH3CHOH-H_s	-0.18+theta[CO_s]*0.13	[12,35,108,137,183,249,400,460,516,598,820,924,1014,1096,1167,1240,1354,1385,1436,1485,1652,2967,3012,3039,3102,3525]	jacs,2016,138,11,3705–3714
Rh(111)	CH3CO_s	if(4/9-theta[CO_s],-1.67-theta[CO_s]*0.09,-3.71+theta[CO_s]*4.5)	[12,123,156,228,286,402,469,676,945,1012,1091,1407,1435,1454,1575,3053,3076,3126]	jacs,2016,138,11,3705–3714
