species_name	surface_name	formation_energy	frequencies	reference
CO_g	None	2.67	[2170]	ACS Catal. 2021, 11, 23, 14545–14560
CO2_g	None	2.06	[1333,2349,667,667]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_g	None	0	[3657,1595,3756]	ACS Catal. 2021, 11, 23, 14545–14560
H2_g	None	0	[4401]	ACS Catal. 2021, 11, 23, 14545–14560
CH4_g	None	0	[2917,1534,1534,3019,3019,3019,1306,1306,1306]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH3_g	None	0.73	[2954,1388,995,289,2896,1379,2969,2969,1468,1468,1190,1190,2985,2985,1469,1469,822,822]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_g	None	2.27	[3026,1623,1342,1023,3103,1236,949,943,3106,826,2989,1444]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_g	None	4.33	[3374,1974,3289,730,730,612,612]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_g	None	2.5	[3005,2917,2822,1743,1441,1400,1352,1113,919,509,2967,1420,867,763,150]	ACS Catal. 2021, 11, 23, 14545–14560
CH3OH_g	None	1.13	[3681,3000,2844,1477,1455,1345,1060,1033,2960,1477,1165,200]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_g	None	1.66	[3652.9,2984.1,2939.2,2899.6,1490.2,1463.5,1411.7,1371.4,1256.3,1090.7,1027.7,887.6,416.5,416.5,416.5,2991.4,2909.6,1445.8,1274.8,1161.0,811.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH3_g	None	1.39	[2977,2962,2887,1476,1462,1392,1158,869,369,2967,1451,1278,940,216,2968,2887,1464,1378,1338,1054,922,2973,2968,1472,1192,748,268]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_g	None	2.78	[3091,3022,2991,2973,2931.9,1652.8,1458.5,1414,1378,1298,1177.5,934.5,919,428,2952.8,1442.5,1044.7,990,912,575.2,188]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Co	-0.31	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Fe	-0.52	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Pt	-0.23	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Pd	-0.33	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Ru	-0.4	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Rh	-0.32	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Ni	-0.31	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
H_s	Cu	-0.02	[1013.0,577.8,570.4]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Co	-0.23	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Fe	-0.64	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Pt	1.13	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Pd	1.05	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Ru	-0.04	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Rh	0.24	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Ni	0.06	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
O_s	Cu	0.79	[423.0,345.8,345.3]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Co	2.21	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Fe	1.53	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Pt	1.82	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Pd	2.11	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Ru	1.58	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Rh	1.64	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Ni	2.28	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
C_s	Cu	3.43	[633.3,632.8,479.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2_s	Co	1.34	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2_s	Fe	1.06	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2_s	Pt	1.18	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
