formation_energy: eV
frequencies: cm-1
reference: J. Phys. Chem. Lett., 2025, 16(35), 8986-8993
surface	species	formation_energy	frequencies
None	H2_g	0.000	[4401.2]
None	O2_g	5.483	[1580.2]
None	H2O_g	0.000	[3832.2, 1648.5, 3942.5]
None	H:+_aq	-0.02	[]
None	H2O_l	0	[]
RuO2	s	0	[]
RuO2	t	0	[]
RuO2	b	0	[]
RuO2	OH*	-0.026*U^2+0.305*U-0.067	[3691.467929, 915.429311, 471.923287, 373.059694, 150.131391, 45.875473]
RuO2	OH|OH_2s	-0.009*U^2+0.510*U-0.042	[3692.006228, 3563.814227, 983.856712, 900.585314, 534.760972, 482.74174, 473.924065, 347.579051, 242.955375, 206.643096, 180.901122, 173.071761]
RuO2	O|OH_2s	-0.008*U^2+0.624*U+1.226	[3602.580761, 911.062048, 725.882751, 539.215978, 342.056814, 218.884663, 200.528064, 142.520695, 119.24488]
RuO2	O|O_2s	0.011*U^2+0.658*U+2.489	[777.946943, 754.791506, 261.728156, 255.457537, 172.052332, 160.565863]
RuO2	O2_2s	0.009*U^2+0.539*U+3.610	[743.508874, 569.033872, 363.635505, 279.982346, 70.14476, -46.553096]
RuO2	O*	-0.022*U^2+0.438*U+1.162	[730.788695, 205.055944, 187.153678]
RuO2	H|OOH_t|s	-0.087*U^2+0.190*U+2.533	[3614.5764, 2958.856478, 1253.156755, 1074.458655, 1061.302939, 675.988911, 468.890375, 449.984293, 295.593664, 191.80939, 141.507047, 72.316251]
RuO2	OOH|H_s|b	-0.062*U^2+0.038*U+1.747	[3619.158401, 3554.404349, 1362.22365, 860.292123, 775.264398, 631.11583, 430.060957, 321.51513, 306.21211, 191.293342, 170.659107, 123.600149]
RuO2	OOH*	-0.066*U^2+0.324*U+2.763	[3619.562608, 1360.065107, 785.15642, 541.503866, 352.334096, 265.155044, 251.905734, 227.344621, 47.207689]
RuO2	O_t|s	-0.017*U^2+0.289*U+3.351	[668.297719, 555.276601, 428.896976, 356.378237, 247.89215, 207.500716]
RuO2	O_s|b	-0.006*U^2+0.218*U+2.940	[630.857375, 418.350769, 354.525809, 289.843544, 174.060473, 153.628323]
RuO2	H_t	-0.018*U^2-0.226*U-0.184	[3595.03936, 1053.328475, 892.19805, 538.706912, 442.937176, 250.443588]
RuO2	H_b	-0.036*U^2-0.115*U-1.188	[3684.42296, 897.803287, 701.080028, 410.263816, 358.310932, 233.185641]
RuO2	O|H2O*	-0.009*U^2+0.423*U+0.762	[3764.131336, 3591.130829, 1597.875597, 726.651845, 462.010708, 370.977048, 313.273163, 259.339093, 201.461057, 134.491428, 104.184432, -48.423598]
RuO2	O-OH2_t|s	0.108*U^2-0.083*U+2.830	[3660.056196, 2575.250692, 1163.653463, 1148.665061, 1040.353409, 574.135122, 493.706943, 349.754335, 265.158606, 231.566838, 63.725441, -215.802158]
RuO2	O-OH2_s|b	0.007*U^2+0.155*U+2.063	[3670.475592, 2756.792828, 1099.393736, 974.810762, 952.942918, 571.823729, 528.861732, 339.006156, 205.263628, 158.700148, 108.361567, -165.765972]
RuO2	O-_t|s	0.054*U^2+0.169*U+3.605	[580.510382, 549.78721, 420.176743, 303.535153, 265.137686, -332.742534]
RuO2	O-_s|b	0.076*U^2+0.085*U+3.145	[523.758099, 431.400444, 355.525679, 265.091226, 246.345884, -426.520011]
RuO2	O-O_2s	0.066*U^2+0.411*U+3.961	[604.404286, 503.600059, 328.438403, 281.482269, 162.026858, -513.203874]
RuO2	O-OH_2s	0.052*U^2+0.170*U+3.094	[3623.926586, 1134.927048, 582.931572, 563.116539, 383.276487, 226.178927, 207.491224, 120.976714, -354.95564]
